site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNH4M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt
3,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180
4,10,0.21,0.39,0.44,1,1,1.2,3.44,2,0.2,40,25,35,6.5,34.5,3.6,0.6,18,24,40,25,35,2,1.2,6.5,95,0,10
4,30,0.23,0.41,0.467,0.7,0.8,1.2,2.13,1.24,0.12,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,1.24,1.2,6.5,20,10,30
4,60,0.26,0.415,0.467,0.4,0.6,1.2,1.69,0.98,0.1,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.98,1.2,6.5,45,30,60
4,90,0.29,0.42,0.47,0.2,0.5,1.2,1.55,0.9,0.09,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.9,1.2,6.5,75,60,90
4,120,0.32,0.425,0.475,0.1,0.4,1.2,1.48,0.86,0.09,40,25,35,6.5,39.875,1.1,0.2,32,9.6,40,25,35,0.86,1.2,6.5,105,90,120
4,150,0.36,0.43,0.48,0.1,0.3,1.2,1.31,0.76,0.08,40,25,35,6.5,41.25,1.1,0.2,21,7.2,40,25,35,0.76,1.2,6.5,135,120,150
4,180,0.4,0.43,0.48,0,0.2,1.2,0.72,0.42,0.04,40,25,35,6.5,42.25,1.1,0.2,9,4.8,40,25,35,0.42,1.2,6.5,165,150,180
5,5,0.15,0.3,0.4,0.8,0.7,1.33,1.2,0.7,0.08,40,45,15,6.8,26.25,1.8,0.3,8,16.8,40,45,15,0.7,1.33,6.8,2.5,0,5
5,15,0.15,0.3,0.43,0.8,0.6,1.35,1.2,0.7,0.04,41,44,15,6.8,26.25,3.6,0.6,15,14.4,41,44,15,0.7,1.35,6.8,10,5,15
5,30,0.14,0.28,0.44,0.7,0.6,1.36,1.03,0.6,0.04,41,44,15,6.8,24.5,5.4,0.9,21,14.4,41,44,15,0.6,1.36,6.8,22.5,15,30
5,45,0.14,0.28,0.43,0.7,0.55,1.35,1.03,0.6,0.03,40,43,17,6.8,24.5,5.4,0.9,21,13.2,40,43,17,0.6,1.35,6.8,37.5,30,45
5,60,0.13,0.26,0.42,0.6,0.59,1.37,0.86,0.5,0.02,38,43,19,6.8,22.75,5.4,0.9,20,14.16,38,43,19,0.5,1.37,6.8,52.5,45,60
5,75,0.12,0.24,0.42,0.6,0.5,1.38,0.69,0.4,0.01,36,43,21,6.8,21,4.1,0.7,18,12,36,43,21,0.4,1.38,6.8,67.5,60,75
5,90,0.14,0.28,0.41,0.5,0.44,1.39,0.69,0.4,0.02,36,44,20,6.8,24.5,4.1,0.7,21,10.56,36,44,20,0.4,1.39,6.8,82.5,75,90
5,105,0.14,0.28,0.4,0.4,0.3,1.41,0.52,0.3,0.04,35,43,22,6.8,24.5,1.1,0.2,21,7.2,35,43,22,0.3,1.41,6.8,97.5,90,105
5,120,0.13,0.26,0.42,0.2,0.2,1.41,0.34,0.2,0.02,32,43,25,6.8,22.75,1.1,0.2,20,4.8,32,43,25,0.2,1.41,6.8,112.5,105,120
5,135,0.12,0.24,0.41,0.1,0.2,1.44,0.15,0.09,0.01,33,44,23,6.8,21,1.1,0.2,18,4.8,33,44,23,0.09,1.44,6.8,127.5,120,135
6,10,0.17,0.301,0.4,1,4,1.4,0.69,0.4,0.04,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,0.4,1.4,6.5,72.5,0,10
6,30,0.18,0.31,0.41,0.7,1.8,1.4,0.43,0.25,0.03,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.25,1.4,6.5,20,10,30
6,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60
6,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90
6,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120
6,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150
6,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180
7,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,95,0,10
7,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30
7,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60
7,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90
7,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120
7,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150
7,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180
8,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,95,0,10
8,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30
8,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60
8,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90
8,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120
8,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150
8,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180
11,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,70,0,10
11,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30
