site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNH4M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt
24,150,0.36,0.43,0.48,0.1,0.3,1.2,0.65,0.38,0.04,40,25,35,6.5,41.25,1.1,0.2,21,7.2,40,25,35,0.38,1.2,6.5,135,120,150
24,180,0.4,0.43,0.48,0,0.2,1.2,0.36,0.21,0.02,40,25,35,6.5,42.25,1.1,0.2,9,4.8,40,25,35,0.21,1.2,6.5,165,150,180
25,10,0.17,0.301,0.4,1,4,1.4,0.69,0.4,0.04,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,0.4,1.4,6.5,95,0,10
25,30,0.18,0.31,0.41,0.7,1.8,1.4,0.43,0.25,0.03,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.25,1.4,6.5,20,10,30
25,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60
25,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90
25,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120
25,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150
25,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180
26,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10
26,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30
26,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60
26,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90
26,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120
26,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150
26,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180
27,10,0.06,0.165,0.36,1,10,1.6,0.69,0.4,0.04,10,3,87,6.5,13.875,3.6,0.6,11,240,10,3,87,0.4,1.6,6.5,95,0,10
27,30,0.07,0.17,0.365,0.8,8.8,1.6,0.43,0.25,0.03,10,3,87,6.5,14.5,7.2,1.3,20,211.2,10,3,87,0.25,1.6,6.5,20,10,30
27,60,0.09,0.172,0.37,0.6,8.6,1.6,0.34,0.2,0.02,10,3,87,6.5,15.15,10.7,1.9,25,206.4,10,3,87,0.2,1.6,6.5,45,30,60
27,90,0.11,0.175,0.37,0.5,8.5,1.6,0.31,0.18,0.02,10,3,87,6.5,15.875,8.3,1.4,20,204,10,3,87,0.18,1.6,6.5,75,60,90
27,120,0.13,0.18,0.37,0.4,8.4,1.6,0.29,0.17,0.02,10,3,87,6.5,16.75,1.1,0.2,15,201.6,10,3,87,0.17,1.6,6.5,105,90,120
27,150,0.15,0.194,0.37,0.3,8.3,1.6,0.26,0.15,0.02,10,3,87,6.5,18.3,1.1,0.2,13,199.2,10,3,87,0.15,1.6,6.5,135,120,150
27,180,0.18,0.207,0.37,0.2,8.2,1.6,0.15,0.09,0.01,10,3,87,6.5,20.025,1.1,0.2,8,196.8,10,3,87,0.09,1.6,6.5,165,150,180
28,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10
28,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30
28,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60
28,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90
28,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120
28,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150
28,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180
29,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,95,0,10
29,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30
29,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60
29,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90
29,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120
29,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150
29,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180
30,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10
30,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30
30,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60
30,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90
30,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120
30,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150
30,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180
31,30,0.12,0.31,0.48,1,0.46,1.37,1.6,0.93,0.09,17.3,72.4,10.2,7.9,26.25,10.7,1.9,57,11.04,17.3,72.4,10.2,0.93,1.37,7.9,105,0,30
31,60,0.14,0.33,0.49,1,0.36,1.37,0.96,0.56,0.06,23.5,67.3,9.2,8,28.25,10.7,1.9,57,8.64,23.5,67.3,9.2,0.56,1.37,8,45,30,60
31,90,0.12,0.31,0.49,1,0.52,1.35,0.88,0.51,0.05,23.7,67,9.3,8.3,26.25,8.3,1.4,57,12.48,23.7,67,9.3,0.51,1.35,8.3,75,60,90
31,150,0.08,0.28,0.49,0.5,0.87,1.34,0.58,0.34,0.03,16.2,73.5,10.3,9,23,3.3,0.6,120,20.88,16.2,73.5,10.3,0.34,1.34,9,120,90,150
32,5,0.25,0.55,0.65,1,0.68,0.58,24.08,14,1.4,10.4,68.8,20.8,5.8,47.5,1.8,0.3,15,16.32,10.4,68.8,20.8,14,0.58,5.8,2.5,0,5
32,10,0.25,0.55,0.65,1,0.68,0.73,13.5,7.85,0.79,5.9,72.7,21.4,4.8,47.5,1.8,0.3,15,16.32,5.9,72.7,21.4,7.85,0.73,4.8,7.5,5,10
32,20,0.25,0.55,0.65,1,0.68,0.73,13.5,7.85,0.79,5.9,72.7,21.4,4.8,47.5,3.6,0.6,30,16.32,5.9,72.7,21.4,7.85,0.73,4.8,15,10,20
32,30,0.23,0.55,0.68,0.7,0.68,0.97,5.09,2.96,0.3,1,56.1,42.9,5.4,47,3.6,0.6,32,16.32,1,56.1,42.9,2.96,0.97,5.4,25,20,30
32,40,0.3,0.48,0.74,0.7,0.68,0.97,5.09,2.96,0.3,1,56.1,42.9,5.4,43.5,3.6,0.6,18,16.32,1,56.1,42.9,2.96,0.97,5.4,35,30,40
32,50,0.3,0.48,0.74,0.5,2.59,1.13,2.94,1.71,0.17,1,42.7,56.3,5.6,43.5,3.6,0.6,18,62.16,1,42.7,56.3,1.71,1.13,5.6,45,40,50
32,60,0.3,0.48,0.71,0.5,2.59,1.13,2.94,1.71,0.17,1,42.7,56.3,5.6,43.5,3.6,0.6,18,62.16,1,42.7,56.3,1.71,1.13,5.6,55,50,60
32,70,0.3,0.45,0.71,0.5,2.59,1.17,2.24,1.3,0.13,1,42.7,56.3,5.6,41.25,2.8,0.5,15,62.16,1,42.7,56.3,1.3,1.17,5.6,65,60,70
32,90,0.3,0.45,0.71,0.5,2.59,1.22,2.24,1.3,0.13,3.6,36.7,59.7,5.8,41.25,5.5,1,30,62.16,3.6,36.7,59.7,1.3,1.22,5.8,80,70,90
32,110,0.3,0.45,0.7,0.3,2.59,1.23,2.24,1.3,0.13,4.7,35,60.3,5.8,41.25,0.7,0.1,30,62.16,4.7,35,60.3,1.3,1.23,5.8,100,90,110
32,130,0.3,0.45,0.7,0.3,2.59,1.23,2.24,1.3,0.13,4.7,35,60.3,5.8,41.25,0.7,0.1,30,62.16,4.7,35,60.3,1.3,1.23,5.8,120,110,130
32,150,0.3,0.45,0.71,0.3,2.59,1.23,2.24,1.3,0.13,2.2,29,68.8,5.8,41.25,0.7,0.1,30,62.16,2.2,29,68.8,1.3,1.23,5.8,140,130,150
32,170,0.3,0.45,0.73,0.3,2.59,1.27,2.24,1.3,0.13,2.2,29,68.8,5.8,41.25,0.7,0.1,30,62.16,2.2,29,68.8,1.3,1.27,5.8,160,150,170
32,180,0.3,0.45,0.73,0.1,2.59,1.27,2.24,1.3,0.13,2.2,29,68.8,5.8,41.25,0.4,0.1,15,62.16,2.2,29,68.8,1.3,1.27,5.8,175,170,180
33,5,0.176,0.311,0.495,1,0.54,1.41,1.72,1,0.1,27.8,60.3,11.9,5.4,27.725,1.8,0.3,7,12.96,27.8,60.3,11.9,1,1.41,5.4,2.5,0,5
33,10,0.176,0.311,0.495,1,0.54,1.41,1.72,1,0.1,27.8,60.3,11.9,5.4,27.725,1.8,0.3,7,12.96,27.8,60.3,11.9,1,1.41,5.4,7.5,5,10
33,20,0.171,0.305,0.437,0.7,0.29,1.42,1.03,0.6,0.06,27.8,60.3,11.9,6.1,27.15,3.6,0.6,13,6.96,27.8,60.3,11.9,0.6,1.42,6.1,15,10,20
33,30,0.187,0.32,0.429,0.7,0.18,1.21,1.03,0.6,0.06,27.8,60.3,11.9,6.5,28.675,3.6,0.6,13,4.32,27.8,60.3,11.9,0.6,1.21,6.5,25,20,30
33,40,0.287,0.409,0.424,0.7,0,1.25,0.69,0.4,0.04,57.9,38.6,3.5,6.9,37.85,3.6,0.6,12,0,57.9,38.6,3.5,0.4,1.25,6.9,35,30,40
33,50,0.287,0.409,0.424,0.5,0,1.25,0.69,0.4,0.04,57.9,38.6,3.5,6.9,37.85,3.6,0.6,12,0,57.9,38.6,3.5,0.4,1.25,6.9,45,40,50
33,60,0.287,0.409,0.424,0.5,0,1.25,0.69,0.4,0.04,57.9,38.6,3.5,6.9,37.85,3.6,0.6,12,0,57.9,38.6,3.5,0.4,1.25,6.9,55,50,60
33,70,0.276,0.398,0.427,0.5,0.01,1.2,0.17,0.1,0.01,57.9,38.6,3.5,7.1,36.75,2.8,0.5,12,0.24,57.9,38.6,3.5,0.1,1.2,7.1,65,60,70
33,90,0.276,0.398,0.427,0.5,0.01,1.2,0.17,0.1,0.01,57.9,38.6,3.5,7.1,36.75,5.5,1,24,0.24,57.9,38.6,3.5,0.1,1.2,7.1,80,70,90
33,110,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,7.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,7.3,100,90,110
33,130,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,7.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,7.3,120,110,130
33,150,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,140,130,150
33,170,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,160,150,170
33,190,0.231,0.361,0.427,0.1,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,180,170,190
33,210,0.231,0.361,0.427,0.1,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,200,190,210
