OBS_ID,THS,THR,ALF,N,K0,L,M,OBS_ID,site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNO3M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt,theta_fc,theta_pwp
94,45.431,8.922,0.00423,1.48842,235.6841,0.22844,0.17849096,94,15,20,0.285,0.358,0.448,1,0.38,1.3,1.92,1.11,0.12,25,57,18,7.3,33.975,7.2,1.3,15,9.12,25,57,18,1.11,1.3,7.3,90,0,20,35.46176143,13.72774514
95,46.269,9.881,0.01022,1.31487,142.0307,-0.77778,0.1004973,95,15,40,0.198,0.342,0.448,0.7,0.38,1.34,1.09,0.64,0.08,37,51,12,7.5,30.6,7.2,1.3,29,9.12,37,51,12,0.64,1.34,7.5,30,20,40,33.62563161,17.33960349
96,47.784,10.851,0.02494,1.24116,494.5756,-2.34497,0.134308945,96,15,60,0.197,0.327,0.489,0.4,0.38,1.32,0.73,0.43,0.06,50,21,29,7.5,29.45,7.2,1.3,26,9.12,50,21,29,0.43,1.32,7.5,50,40,60,32.76400454,19.69927966
97,47.995,10.447,0.01154,1.24405,141.2668,-1.36029,0.16324602,97,15,90,0.24,0.388,0.458,0,0.38,1.33,0.59,0.34,0.05,43,30,27,7.4,35.1,8.3,1.4,44,9.12,43,30,27,0.34,1.33,7.4,75,60,90,36.63361127,21.11764341
98,45.427,10.166,0.0058,1.34475,100,-0.25633,0.213640673,98,15,150,0.24,0.388,0.458,0.1,0.38,1.4,0.47,0.28,0.05,35,35,30,7.3,35.1,3.3,0.6,89,9.12,35,35,30,0.28,1.4,7.3,120,90,150,35.94311517,17.72337966
99,45.612,9.299,0.00288,1.6496,173.3243,0.38354,0.145044736,99,16,30,0.196,0.37,0.438,1,0.05,1.4,1.81,1.05,0.11,16.6,75.5,7.9,8.2,32.65,10.7,1.9,52,1.2,16.6,75.5,7.9,1.05,1.4,8.2,90,0,30,37.38851759,12.44174641
100,44.55693832,2.417213524,0.010897731,1.173012268,114.5939472,-1.801851129,0.147493997,100,16,60,0.174,0.344,0.423,0.5,0.08,1.55,0.77,0.45,0.05,26,66.5,7.5,8.2,30.15,10.7,1.9,51,1.92,26,66.5,7.5,0.45,1.55,8.2,45,30,60,35.19930439,19.85854228
101,41.228,7.71,0.00475,1.47719,109.8083,0.11171,0.152755567,101,16,90,0.163,0.328,0.431,0.2,0.15,1.55,0.77,0.45,0.16,18,74.5,7.5,8.2,28.675,8.3,1.4,50,3.6,18,74.5,7.5,0.45,1.55,8.2,75,60,90,31.3618382,12.08412115
102,41.128,7.645,0.00486,1.47176,112.1949,0.09819,0.19411225,102,16,120,0.161,0.326,0.431,0.1,0.16,1.55,0.77,0.45,0.16,18,74.5,7.5,8.2,28.475,1.7,0.3,50,3.84,18,74.5,7.5,0.45,1.55,8.2,105,90,120,31.17893009,12.06896619
103,40.879,7.486,0.00517,1.45852,118.2365,0.06212,0.218640605,103,16,150,0.158,0.321,0.431,0.1,0.18,1.55,0.77,0.45,0.16,18,74.5,7.5,8.2,28.025,1.7,0.3,49,4.32,18,74.5,7.5,0.45,1.55,8.2,135,120,150,30.69847655,12.02546986
104,40.741,5.988,0.00667,1.38623,219.6644,0.0172,0.173982483,104,18,30,0.1,0.3,0.47,1,3,1.4,3.44,2,0.2,12,30,58,6.5,25,10.7,1.9,60,72,12,30,58,2,1.4,6.5,115,0,30,29.63056758,11.85268155
105,40.097,5.513,0.00998,1.35206,282.8177,-0.36282,0.164548114,105,18,40,0.09,0.27,0.45,0.8,3,1.4,0.9,0.62,0.06,12,32,58,6.5,22.5,3.6,0.6,18,72,12,32,58,0.62,1.4,6.5,35,30,40,27.19279676,11.44139563
106,33.571,6.372,0.00939,1.25294,100,-1.21134,0.248000197,106,18,70,0.17,0.31,0.36,0.5,0.5,1.8,0.4,0.23,0.02,22,40,38,6.5,27.5,10.7,1.9,42,12,22,40,38,0.23,1.8,6.5,55,40,70,25.92812593,14.15000974
107,40.005,7.005,0.00603,1.37643,100,-0.08952,0.221765718,107,18,120,0.16,0.32,0.43,0.3,1.5,1.5,0.1,0.05,0.01,18,30,52,6.5,28,1.5,0.3,80,36,18,30,52,0.05,1.5,6.5,95,70,120,30.29102907,13.05593371
108,37.928,6.744,0.00588,1.35775,100,-0.17348,0.249354078,108,18,200,0.16,0.32,0.42,0.1,1.5,1.6,0.1,0.05,0.01,17,30,53,6.5,28,2.4,0.4,128,36,17,30,53,0.05,1.6,6.5,160,120,200,29.22944953,13.01994988
109,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.143637681,109,19,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,105,0,10,29.61599442,12.69699378
110,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.135791932,110,19,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30,30.37208626,12.76404967
111,41.83423345,3.931794017,0.026523609,1.142877386,229.4088086,-2.741205696,0.125015498,111,19,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60,31.45421035,20.04446065
112,41.15215299,5.125644398,0.021394416,1.161751048,133.3449402,-2.623948644,0.139230387,112,19,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90,31.03067234,19.28803781
113,41.20345539,4.881010629,0.00870902,1.237585267,69.84381983,-0.445947677,0.191974867,113,19,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120,31.87508804,16.28954756
114,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.214662775,114,19,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150,31.25150933,12.82017589
115,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.278873795,115,19,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180,31.70293075,12.84125895
116,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.168397538,116,20,10,0.17,0.301,0.4,1,4,1.4,0.69,0.4,0.04,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,0.4,1.4,6.5,95,0,10,29.61599442,12.69699378
117,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.199108857,117,20,30,0.18,0.31,0.41,0.7,1.8,1.4,0.43,0.25,0.03,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.25,1.4,6.5,20,10,30,30.37208626,12.76404967
118,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.205306503,118,20,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60,30.37208626,12.76404967
119,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.197674199,119,20,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90,30.80726251,12.79446996
120,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.266113622,120,20,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120,30.97724246,12.80313278
121,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.28082212,121,20,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150,31.25150933,12.82017589
122,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.298643877,122,20,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180,31.70293075,12.84125895
123,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.133901178,123,21,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10,29.61599442,12.69699378
124,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123672138,124,21,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30,30.37208626,12.76404967
125,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123004228,125,21,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60,30.37208626,12.76404967
126,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124044036,126,21,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90,30.80726251,12.79446996
127,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.148249415,127,21,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120,30.97724246,12.80313278
128,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.170997085,128,21,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150,31.25150933,12.82017589
129,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.237111271,129,21,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180,31.70293075,12.84125895
130,37.33,6.226,0.02971,1.56587,819.6365,-1.09801,0.528002893,130,22,10,0.06,0.165,0.36,1,10,1.6,0.69,0.4,0.04,10,3,87,6.5,13.875,3.6,0.6,11,240,10,3,87,0.4,1.6,6.5,95,0,10,14.68784828,7.211868287
131,37.366,6.173,0.0288,1.54179,741.0957,-1.09528,0.533157553,131,22,30,0.07,0.17,0.365,0.8,8.8,1.6,0.43,0.25,0.03,10,3,87,6.5,14.5,7.2,1.3,20,211.2,10,3,87,0.25,1.6,6.5,20,10,30,15.28405018,7.337568978
132,37.38,6.152,0.02844,1.53265,712.2879,-1.09403,0.55913316,132,22,60,0.09,0.172,0.37,0.6,8.6,1.6,0.34,0.2,0.02,10,3,87,6.5,15.15,10.7,1.9,25,206.4,10,3,87,0.2,1.6,6.5,45,30,60,15.52265441,7.392650653
133,37.401,6.121,0.02789,1.51944,671.6449,-1.09197,0.532306977,133,22,90,0.11,0.175,0.37,0.5,8.5,1.6,0.31,0.18,0.02,10,3,87,6.5,15.875,8.3,1.4,20,204,10,3,87,0.18,1.6,6.5,75,60,90,15.88299829,7.480936704
134,37.436,6.072,0.02698,1.49872,610.2048,-1.08801,0.524323587,134,22,100,0.13,0.18,0.37,0.4,8.4,1.6,0.29,0.17,0.02,10,3,87,6.5,16.75,3.3,0.6,5,201.6,10,3,87,0.17,1.6,6.5,95,90,100,16.48352335,7.643028584
135,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.15992758,135,23,10,0.17,0.301,0.4,1,4,1.4,0.69,0.4,0.04,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,0.4,1.4,6.5,55,0,10,29.61599442,12.69699378
136,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.199108857,136,23,30,0.18,0.31,0.41,0.7,1.8,1.4,0.43,0.25,0.03,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.25,1.4,6.5,20,10,30,30.37208626,12.76404967
137,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.205306503,137,23,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60,30.37208626,12.76404967
138,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.197674199,138,23,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90,30.80726251,12.79446996
139,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.266113622,139,23,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120,30.97724246,12.80313278
140,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.28082212,140,23,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150,31.25150933,12.82017589
141,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.298643877,141,23,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180,31.70293075,12.84125895
142,51.255,9.993,0.01412,1.23255,345.4792,-1.60097,0.150673577,142,24,10,0.21,0.39,0.44,1,1,1.2,1.72,1,0.1,40,25,35,6.5,34.5,3.6,0.6,18,24,40,25,35,1,1.2,6.5,95,0,10,38.09067363,21.86557503
143,51.55,10.268,0.01151,1.24274,295.9359,-1.26033,0.114486804,143,24,30,0.23,0.41,0.467,0.7,0.8,1.2,1.07,0.62,0.06,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,0.62,1.2,6.5,20,10,30,39.12722777,22.08671659
144,51.624,10.349,0.01089,1.2464,284.3051,-1.16679,0.124973856,144,24,60,0.26,0.415,0.467,0.4,0.6,1.2,0.84,0.49,0.05,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.49,1.2,6.5,45,30,60,39.38463722,22.10406181
145,51.699,10.435,0.0103,1.25053,272.9801,-1.0716,0.153865174,145,24,90,0.29,0.42,0.47,0.2,0.5,1.2,0.77,0.45,0.05,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.45,1.2,6.5,75,60,90,39.63602436,22.10363117
146,51.775,10.527,0.00972,1.25513,261.9618,-0.97562,0.190289877,146,24,120,0.32,0.425,0.475,0.1,0.4,1.2,0.74,0.43,0.04,40,25,35,6.5,39.875,1.1,0.2,32,9.6,40,25,35,0.43,1.2,6.5,105,90,120,39.89495466,22.09328139
147,51.85,10.623,0.00916,1.26022,251.2506,-0.87971,0.210773124,147,24,150,0.36,0.43,0.48,0.1,0.3,1.2,0.65,0.38,0.04,40,25,35,6.5,41.25,1.1,0.2,21,7.2,40,25,35,0.38,1.2,6.5,135,120,150,40.15529919,22.06899971
148,51.85,10.623,0.00916,1.26022,251.2506,-0.87971,0.266202887,148,24,180,0.4,0.43,0.48,0,0.2,1.2,0.36,0.21,0.02,40,25,35,6.5,42.25,1.1,0.2,9,4.8,40,25,35,0.21,1.2,6.5,165,150,180,40.15529919,22.06899971
149,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.168397538,149,25,10,0.17,0.301,0.4,1,4,1.4,0.69,0.4,0.04,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,0.4,1.4,6.5,95,0,10,29.61599442,12.69699378
150,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.199108857,150,25,30,0.18,0.31,0.41,0.7,1.8,1.4,0.43,0.25,0.03,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.25,1.4,6.5,20,10,30,30.37208626,12.76404967
151,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.205306503,151,25,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60,30.37208626,12.76404967
152,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.197674199,152,25,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90,30.80726251,12.79446996
153,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.266113622,153,25,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120,30.97724246,12.80313278
154,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.28082212,154,25,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150,31.25150933,12.82017589
155,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.298643877,155,25,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180,31.70293075,12.84125895
156,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.133901178,156,26,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10,29.61599442,12.69699378
157,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123672138,157,26,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30,30.37208626,12.76404967
158,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123004228,158,26,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60,30.37208626,12.76404967
159,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124044036,159,26,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90,30.80726251,12.79446996
160,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.148249415,160,26,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120,30.97724246,12.80313278
161,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.170997085,161,26,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150,31.25150933,12.82017589
162,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.237111271,162,26,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180,31.70293075,12.84125895
163,37.33,0,0.02971,1.56587,819.6365,0.5,0.528002893,163,27,10,0.06,0.165,0.36,1,10,1.6,0.69,0.4,0.04,10,3,87,6.5,13.875,3.6,0.6,11,240,10,3,87,0.4,1.6,6.5,95,0,10,14.68784828,7.211868287
164,37.366,0,0.0288,1.54179,741.0957,0.5,0.533157553,164,27,30,0.07,0.17,0.365,0.8,8.8,1.6,0.43,0.25,0.03,10,3,87,6.5,14.5,7.2,1.3,20,211.2,10,3,87,0.25,1.6,6.5,20,10,30,15.28405018,7.337568978
165,37.38,0,0.02844,1.53265,712.2879,0.5,0.55913316,165,27,60,0.09,0.172,0.37,0.6,8.6,1.6,0.34,0.2,0.02,10,3,87,6.5,15.15,10.7,1.9,25,206.4,10,3,87,0.2,1.6,6.5,45,30,60,15.52265441,7.392650653
166,37.401,0,0.02789,1.51944,671.6449,0.5,0.532306977,166,27,90,0.11,0.175,0.37,0.5,8.5,1.6,0.31,0.18,0.02,10,3,87,6.5,15.875,8.3,1.4,20,204,10,3,87,0.18,1.6,6.5,75,60,90,15.88299829,7.480936704
167,37.436,0,0.02698,1.49872,610.2048,0.5,0.529261019,167,27,120,0.13,0.18,0.37,0.4,8.4,1.6,0.29,0.17,0.02,10,3,87,6.5,16.75,1.1,0.2,15,201.6,10,3,87,0.17,1.6,6.5,105,90,120,16.48352335,7.643028584
168,37.534,0,0.02441,1.44877,473.0538,0.5,0.521196862,168,27,150,0.15,0.194,0.37,0.3,8.3,1.6,0.26,0.15,0.02,10,3,87,6.5,18.3,1.1,0.2,13,199.2,10,3,87,0.15,1.6,6.5,135,120,150,18.14950058,8.178657766
169,37.629,0,0.02205,1.41181,380.8756,0.5,0.518918903,169,27,180,0.18,0.207,0.37,0.2,8.2,1.6,0.15,0.09,0.01,10,3,87,6.5,20.025,1.1,0.2,8,196.8,10,3,87,0.09,1.6,6.5,165,150,180,19.64349658,8.7616799
170,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.133901178,170,28,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10,29.61599442,12.69699378
171,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123672138,171,28,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30,30.37208626,12.76404967
172,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123004228,172,28,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60,30.37208626,12.76404967
173,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124044036,173,28,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90,30.80726251,12.79446996
174,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.148249415,174,28,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120,30.97724246,12.80313278
175,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.170997085,175,28,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150,31.25150933,12.82017589
176,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.237111271,176,28,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180,31.70293075,12.84125895
177,41.7387709,4.504429134,0.032475535,1.148130264,129.3918323,-0.314428865,0.129018691,177,29,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,95,0,10,30.49377963,19.390352
178,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.135791932,178,29,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30,30.37208626,12.76404967
179,41.83423345,3.931794017,0.026523609,1.142877386,229.4088086,-2.741205696,0.125015498,179,29,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60,31.45421035,20.04446065
180,41.15215299,5.125644398,0.021394416,1.161751048,133.3449402,-2.623948644,0.139230387,180,29,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90,31.03067234,19.28803781
181,41.20345539,4.881010629,0.00870902,1.237585267,69.84381983,-0.445947677,0.191974867,181,29,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120,31.87508804,16.28954756
182,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.214662775,182,29,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150,31.25150933,12.82017589
183,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.278873795,183,29,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180,31.70293075,12.84125895
184,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.133901178,184,30,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,95,0,10,29.61599442,12.69699378
185,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123672138,185,30,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30,30.37208626,12.76404967
186,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123004228,186,30,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60,30.37208626,12.76404967
187,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124044036,187,30,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90,30.80726251,12.79446996
188,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.148249415,188,30,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120,30.97724246,12.80313278
189,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.170997085,189,30,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150,31.25150933,12.82017589
190,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.237111271,190,30,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180,31.70293075,12.84125895
