OBS_ID,THS,THR,ALF,N,K0,L,M,OBS_ID,site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNO3M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt,theta_fc,theta_pwp
22,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124652009,22,2,70,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,2.8,0.5,10,36,22,45,33,0.9,1.4,6.5,65,60,70,30.80726251,12.79446996
23,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.130151493,23,2,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,5.5,1,20,36,22,45,33,0.9,1.4,6.5,80,70,90,30.80726251,12.79446996
24,41.66429818,4.563020318,0.023007738,1.160296992,103.8869572,0.08645177,0.138151691,24,2,110,0.215,0.315,0.43,0.3,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,0.6,0.1,20,36,22,45,33,0.9,1.4,6.5,100,90,110,31.03650059,19.10061617
25,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.15161551,25,2,130,0.215,0.315,0.43,0.3,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,0.6,0.1,20,36,22,45,33,0.9,1.4,6.5,120,110,130,30.80726251,12.79446996
26,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.173829449,26,2,150,0.215,0.315,0.43,0.3,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,0.6,0.1,20,36,22,45,33,0.9,1.4,6.5,140,130,150,30.80726251,12.79446996
27,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.185938708,27,2,170,0.215,0.315,0.43,0.3,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,0.6,0.1,20,36,22,45,33,0.9,1.4,6.5,160,150,170,30.80726251,12.79446996
28,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.190456018,28,2,190,0.215,0.315,0.43,0.1,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,0.6,0.1,20,36,22,45,33,0.9,1.4,6.5,180,170,190,30.80726251,12.79446996
29,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.190035866,29,2,210,0.215,0.315,0.43,0.1,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,0.6,0.1,20,36,22,45,33,0.9,1.4,6.5,200,190,210,30.80726251,12.79446996
30,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.146044907,30,3,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,2,1.4,6.5,110,0,10,29.61599442,12.69699378
31,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123672138,31,3,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,1.24,1.4,6.5,20,10,30,30.37208626,12.76404967
32,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123004228,32,3,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.98,1.4,6.5,45,30,60,30.37208626,12.76404967
33,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124044036,33,3,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.9,1.4,6.5,75,60,90,30.80726251,12.79446996
34,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.148249415,34,3,120,0.25,0.317,0.44,0.3,1.4,1.4,1.48,0.86,0.09,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.86,1.4,6.5,105,90,120,30.97724246,12.80313278
35,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.170997085,35,3,150,0.27,0.32,0.44,0.3,1.3,1.4,1.31,0.76,0.08,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.76,1.4,6.5,135,120,150,31.25150933,12.82017589
36,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.237111271,36,3,180,0.29,0.325,0.44,0.1,1.2,1.4,0.72,0.42,0.04,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.42,1.4,6.5,165,150,180,31.70293075,12.84125895
37,51.255,9.993,0.01412,1.23255,345.4792,-1.60097,0.146574251,37,4,10,0.21,0.39,0.44,1,1,1.2,3.44,2,0.2,40,25,35,6.5,34.5,3.6,0.6,18,24,40,25,35,2,1.2,6.5,95,0,10,38.09067363,21.86557503
38,51.55,10.268,0.01151,1.24274,295.9359,-1.26033,0.133518766,38,4,30,0.23,0.41,0.467,0.7,0.8,1.2,2.13,1.24,0.12,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,1.24,1.2,6.5,20,10,30,39.12722777,22.08671659
39,51.624,10.349,0.01089,1.2464,284.3051,-1.16679,0.137777686,39,4,60,0.26,0.415,0.467,0.4,0.6,1.2,1.69,0.98,0.1,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.98,1.2,6.5,45,30,60,39.38463722,22.10406181
40,51.699,10.435,0.0103,1.25053,272.9801,-1.0716,0.13937848,40,4,90,0.29,0.42,0.47,0.2,0.5,1.2,1.55,0.9,0.09,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.9,1.2,6.5,75,60,90,39.63602436,22.10363117
41,51.775,10.527,0.00972,1.25513,261.9618,-0.97562,0.162662688,41,4,120,0.32,0.425,0.475,0.1,0.4,1.2,1.48,0.86,0.09,40,25,35,6.5,39.875,1.1,0.2,32,9.6,40,25,35,0.86,1.2,6.5,105,90,120,39.89495466,22.09328139
42,51.85,10.623,0.00916,1.26022,251.2506,-0.87971,0.18628665,42,4,150,0.36,0.43,0.48,0.1,0.3,1.2,1.31,0.76,0.08,40,25,35,6.5,41.25,1.1,0.2,21,7.2,40,25,35,0.76,1.2,6.5,135,120,150,40.15529919,22.06899971
43,51.85,10.623,0.00916,1.26022,251.2506,-0.87971,0.217840945,43,4,180,0.4,0.43,0.48,0,0.2,1.2,0.72,0.42,0.04,40,25,35,6.5,42.25,1.1,0.2,9,4.8,40,25,35,0.42,1.2,6.5,165,150,180,40.15529919,22.06899971
44,45.551,9.728,0.01702,1.29477,171.0305,-1.37825,0.121874949,44,5,5,0.15,0.3,0.4,0.8,0.7,1.33,1.2,0.7,0.08,40,45,15,6.8,26.25,1.8,0.3,8,16.8,40,45,15,0.7,1.33,6.8,2.5,0,5,30.77470244,16.71933347
45,45.113,9.821,0.01743,1.28962,163.8023,-1.45694,0.098473348,45,5,15,0.15,0.3,0.43,0.8,0.6,1.35,1.2,0.7,0.04,41,44,15,6.8,26.25,3.6,0.6,15,14.4,41,44,15,0.7,1.35,6.8,10,5,15,30.61337241,16.85946229
46,44.322,9.774,0.01944,1.30921,171.1742,-1.46588,0.094606164,46,5,30,0.14,0.28,0.44,0.7,0.6,1.36,1.03,0.6,0.04,41,44,15,6.8,24.5,5.4,0.9,21,14.4,41,44,15,0.6,1.36,6.8,22.5,15,30,28.83734142,15.74744889
47,44.522,9.651,0.01921,1.31122,179.8437,-1.42533,0.10542729,47,5,45,0.14,0.28,0.43,0.7,0.55,1.35,1.03,0.6,0.03,40,43,17,6.8,24.5,5.4,0.9,21,13.2,40,43,17,0.6,1.35,6.8,37.5,30,45,28.88566767,15.63402097
48,43.313,9.322,0.02036,1.33576,180.0684,-1.36831,0.12277643,48,5,60,0.13,0.26,0.42,0.6,0.59,1.37,0.86,0.5,0.02,38,43,19,6.8,22.75,5.4,0.9,20,14.16,38,43,19,0.5,1.37,6.8,52.5,45,60,26.91506436,14.29927894
49,42.394,9.016,0.02175,1.36761,186.3738,-1.3101,0.123154303,49,5,75,0.12,0.24,0.42,0.6,0.5,1.38,0.69,0.4,0.01,36,43,21,6.8,21,4.1,0.7,18,12,36,43,21,0.4,1.38,6.8,67.5,60,75,24.90767924,12.99167969
50,43.054,8.955,0.01704,1.30702,150.7955,-1.30659,0.148701779,50,5,90,0.14,0.28,0.41,0.5,0.44,1.39,0.69,0.4,0.02,36,44,20,6.8,24.5,4.1,0.7,21,10.56,36,44,20,0.4,1.39,6.8,82.5,75,90,28.55823744,15.17083631
51,42.456,8.759,0.01669,1.30356,142.0475,-1.30384,0.224885583,51,5,105,0.14,0.28,0.4,0.4,0.3,1.41,0.52,0.3,0.04,35,43,22,6.8,24.5,1.1,0.2,21,7.2,35,43,22,0.3,1.41,6.8,97.5,90,105,28.35985198,15.06004536
52,41.659,8.211,0.018,1.32222,156.0429,-1.25386,0.259892428,52,5,120,0.13,0.26,0.42,0.2,0.2,1.41,0.34,0.2,0.02,32,43,25,6.8,22.75,1.1,0.2,20,4.8,32,43,25,0.2,1.41,6.8,112.5,105,120,26.63794539,13.71744875
53,40.454,8.258,0.02106,1.33634,157.083,-1.37968,0.291201348,53,5,135,0.12,0.24,0.41,0.1,0.2,1.44,0.15,0.09,0.01,33,44,23,6.8,21,1.1,0.2,18,4.8,33,44,23,0.09,1.44,6.8,127.5,120,135,24.72868812,12.90372475
54,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.135422765,54,6,10,0.17,0.301,0.4,1,4,1.4,0.69,0.4,0.04,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,0.4,1.4,6.5,72.5,0,10,29.61599442,12.69699378
55,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.199108857,55,6,30,0.18,0.31,0.41,0.7,1.8,1.4,0.43,0.25,0.03,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.25,1.4,6.5,20,10,30,30.37208626,12.76404967
56,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.205306503,56,6,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60,30.37208626,12.76404967
57,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.197674199,57,6,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90,30.80726251,12.79446996
58,41.613,7.487,0.00592,1.41432,139.398,-0.01996,0.266113622,58,6,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120,30.97724246,12.80313278
59,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.28082212,59,6,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150,31.25150933,12.82017589
60,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.298643877,60,6,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180,31.70293075,12.84125895
61,41.7387709,4.504429134,0.032475535,1.148130264,129.3918323,-0.314428865,0.129018691,61,7,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,95,0,10,30.49377963,19.390352
62,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.135791932,62,7,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30,30.37208626,12.76404967
63,41.83423345,3.931794017,0.026523609,1.142877386,229.4088086,-2.741205696,0.125015498,63,7,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60,31.45421035,20.04446065
64,41.15215299,5.125644398,0.021394416,1.161751048,133.3449402,-2.623948644,0.139230387,64,7,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90,31.03067234,19.28803781
65,41.20345539,4.881010629,0.00870902,1.237585267,69.84381983,-0.445947677,0.191974867,65,7,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120,31.87508804,16.28954756
66,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.214662775,66,7,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150,31.25150933,12.82017589
67,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.278873795,67,7,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180,31.70293075,12.84125895
68,41.7387709,4.504429134,0.032475535,1.148130264,129.3918323,-0.314428865,0.129018691,68,8,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,95,0,10,30.49377963,19.390352
69,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.135791932,69,8,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30,30.37208626,12.76404967
70,41.83423345,3.931794017,0.026523609,1.142877386,229.4088086,-2.741205696,0.125015498,70,8,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60,31.45421035,20.04446065
