location,name_full,name_short,name_database,name_xnm,name_gtp,0-,G1,G2,GK,GO,GR,I1,I2,IK,IO,IR
25,"Faisalabad, Pakistan",PKFA,XN3e_25_Fai_USA ,PKFA.xnm,PKFA.gtp,PKFA0QXX.xnw,PKFAG1XF.xnw,PKFAG2XF.xnw,PKFAGKXF.xnw,PKFAGOXF.xnw,PKFAGRXF.xnw,PKFAI1XF.xnw,PKFAI2XF.xnw,PKFAIKXF.xnw,PKFAIOXF.xnw,PKFAIRXF.xnw
26,"Karagandy, Kazakhastan",KZKA,XN3e_26_Kar_KAZ ,KZKA.xnm,KZKA.gtp,KZKA0QXX.xnw,KZKAG1XF.xnw,KZKAG2XF.xnw,KZKAGKXF.xnw,KZKAGOXF.xnw,KZKAGRXF.xnw,KZKAI1XF.xnw,KZKAI2XF.xnw,KZKAIKXF.xnw,KZKAIOXF.xnw,KZKAIRXF.xnw
27,"Krasnodar, Russia",RUKR,XN3e_27_Kra_RUS ,RUKR.xnm,RUKR.gtp,RUKR0QXX.xnw,RUKRG1XF.xnw,RUKRG2XF.xnw,RUKRGKXF.xnw,RUKRGOXF.xnw,RUKRGRXF.xnw,RUKRI1XF.xnw,RUKRI2XF.xnw,RUKRIKXF.xnw,RUKRIOXF.xnw,RUKRIRXF.xnw
28,"Poltava, Ukraine",URPO,XN3e_28_Pol_UKR ,URPO.xnm,URPO.gtp,URPO0QXX.xnw,URPOG1XF.xnw,URPOG2XF.xnw,URPOGKXF.xnw,URPOGOXF.xnw,URPOGRXF.xnw,URPOI1XF.xnw,URPOI2XF.xnw,URPOIKXF.xnw,URPOIOXF.xnw,URPOIRXF.xnw
29,"Izmir, Turkey",TRIZ,XN3e_29_Izm_Tur ,TRIZ.xnm,TRIZ.gtp,TRIZ0QXX.xnw,TRIZG1XF.xnw,TRIZG2XF.xnw,TRIZGKXF.xnw,TRIZGOXF.xnw,TRIZGRXF.xnw,TRIZI1XF.xnw,TRIZI2XF.xnw,TRIZIKXF.xnw,TRIZIOXF.xnw,TRIZIRXF.xnw
30,"Lethbridge, Canada",CALE,XN3e_30_Let_CAN ,CALE.xnm,CALE.gtp,CALE0QXX.xnw,CALEG1XF.xnw,CALEG2XF.xnw,CALEGKXF.xnw,CALEGOXF.xnw,CALEGRXF.xnw,CALEI1XF.xnw,CALEI2XF.xnw,CALEIKXF.xnw,CALEIOXF.xnw,CALEIRXF.xnw
31,"Rots, France",FRRO,NAN,FRRO.xnm,FRRO.gtp,FRRO0QXX.xnw,FRROG1XF.xnw,FRROG2XF.xnw,FRROGKXF.xnw,FRROGOXF.xnw,FRROGRXF.xnw,FRROI1XF.xnw,FRROI2XF.xnw,FRROIKXF.xnw,FRROIOXF.xnw,FRROIRXF.xnw
32,"Valdivia, Chile",CLVA,NAN,CLVA.xnm,CLVA.gtp,CLVA0QXX.xnw,CLVAG1XF.xnw,CLVAG2XF.xnw,CLVAGKXF.xnw,CLVAGOXF.xnw,CLVAGRXF.xnw,CLVAI1XF.xnw,CLVAI2XF.xnw,CLVAIKXF.xnw,CLVAIOXF.xnw,CLVAIRXF.xnw
33,"Buenos Aires, Argentina",ARBU,NAN,ARBU.xnm,ARBU.gtp,ARBU0QXX.xnw,ARBUG1XF.xnw,ARBUG2XF.xnw,ARBUGKXF.xnw,ARBUGOXF.xnw,ARBUGRXF.xnw,ARBUI1XF.xnw,ARBUI2XF.xnw,ARBUIKXF.xnw,ARBUIOXF.xnw,ARBUIRXF.xnw
34,"Leeston, New-Zealand",NZLE,NAN,NZLE.xnm,NZLE.gtp,NZLE0QXX.xnw,NZLEG1XF.xnw,NZLEG2XF.xnw,NZLEGKXF.xnw,NZLEGOXF.xnw,NZLEGRXF.xnw,NZLEI1XF.xnw,NZLEI2XF.xnw,NZLEIKXF.xnw,NZLEIOXF.xnw,NZLEIRXF.xnw
